id,date,label,value
374,2011-07-25,BTC / USD,14.0026
375,2011-07-26,BTC / USD,13.8812
376,2011-07-27,BTC / USD,13.9076
377,2011-07-28,BTC / USD,13.4819
378,2011-07-29,BTC / USD,13.5144
379,2011-07-30,BTC / USD,13.5328
380,2011-07-31,BTC / USD,13.3799
381,2011-08-01,BTC / USD,13.0956
382,2011-08-02,BTC / USD,12.0600
383,2011-08-03,BTC / USD,9.2600
384,2011-08-04,BTC / USD,10.7437
385,2011-08-05,BTC / USD,9.7727
386,2011-08-06,BTC / USD,6.5113
387,2011-08-07,BTC / USD,8.1663
388,2011-08-08,BTC / USD,7.8299
389,2011-08-09,BTC / USD,9.7489
390,2011-08-10,BTC / USD,10.0147
391,2011-08-11,BTC / USD,9.4562
392,2011-08-12,BTC / USD,9.4603
393,2011-08-13,BTC / USD,10.1233
394,2011-08-14,BTC / USD,10.7443
395,2011-08-15,BTC / USD,11.1381
396,2011-08-16,BTC / USD,10.9590
397,2011-08-17,BTC / USD,10.9931
398,2011-08-18,BTC / USD,10.8470
399,2011-08-19,BTC / USD,11.6500
400,2011-08-20,BTC / USD,11.4510
401,2011-08-21,BTC / USD,11.3232
402,2011-08-22,BTC / USD,10.9408
403,2011-08-23,BTC / USD,10.9274
404,2011-08-24,BTC / USD,10.8506
405,2011-08-25,BTC / USD,9.6841
406,2011-08-26,BTC / USD,8.1792
407,2011-08-27,BTC / USD,8.5902
408,2011-08-28,BTC / USD,9.0785
409,2011-08-29,BTC / USD,8.9681
410,2011-08-30,BTC / USD,8.7955
411,2011-08-31,BTC / USD,8.2235
412,2011-09-01,BTC / USD,8.2289
413,2011-09-02,BTC / USD,8.6228
414,2011-09-03,BTC / USD,8.4790
415,2011-09-04,BTC / USD,8.1787
416,2011-09-05,BTC / USD,7.6292
417,2011-09-06,BTC / USD,6.8647
418,2011-09-07,BTC / USD,7.1861
419,2011-09-08,BTC / USD,6.5331
420,2011-09-09,BTC / USD,5.0556
421,2011-09-10,BTC / USD,4.7643
422,2011-09-11,BTC / USD,5.9142
423,2011-09-12,BTC / USD,6.0614
424,2011-09-13,BTC / USD,5.8000
425,2011-09-14,BTC / USD,5.6195
426,2011-09-15,BTC / USD,4.8059
427,2011-09-16,BTC / USD,4.8110
428,2011-09-17,BTC / USD,4.7647
429,2011-09-18,BTC / USD,5.2382
430,2011-09-19,BTC / USD,5.4628
431,2011-09-20,BTC / USD,6.1148
432,2011-09-21,BTC / USD,5.6609
433,2011-09-22,BTC / USD,5.4736
434,2011-09-23,BTC / USD,5.5576
435,2011-09-24,BTC / USD,5.4715
436,2011-09-25,BTC / USD,5.3318
437,2011-09-26,BTC / USD,4.8692
438,2011-09-27,BTC / USD,4.7094
439,2011-09-28,BTC / USD,4.7093
440,2011-09-29,BTC / USD,4.7846
441,2011-09-30,BTC / USD,5.1491
442,2011-10-01,BTC / USD,5.0181
443,2011-10-02,BTC / USD,5.0270
444,2011-10-03,BTC / USD,5.0240
445,2011-10-04,BTC / USD,4.9600
446,2011-10-05,BTC / USD,4.8799
447,2011-10-06,BTC / USD,4.7344
448,2011-10-07,BTC / USD,4.2728
449,2011-10-08,BTC / USD,4.0059
450,2011-10-09,BTC / USD,4.1029
451,2011-10-10,BTC / USD,4.0869
452,2011-10-11,BTC / USD,3.9592
453,2011-10-12,BTC / USD,4.1500
454,2011-10-13,BTC / USD,4.0462
455,2011-10-14,BTC / USD,3.9879
456,2011-10-15,BTC / USD,3.8480
457,2011-10-16,BTC / USD,3.5724
458,2011-10-17,BTC / USD,2.5545
459,2011-10-18,BTC / USD,2.4093
460,2011-10-19,BTC / USD,2.2623
461,2011-10-20,BTC / USD,2.3480
462,2011-10-21,BTC / USD,2.5625
463,2011-10-22,BTC / USD,3.1387
464,2011-10-23,BTC / USD,3.1647
465,2011-10-24,BTC / USD,2.5385
466,2011-10-25,BTC / USD,2.7736
467,2011-10-26,BTC / USD,2.7730
468,2011-10-27,BTC / USD,3.0401
469,2011-10-28,BTC / USD,3.1852
470,2011-10-29,BTC / USD,3.5683
471,2011-10-30,BTC / USD,3.2625
472,2011-10-31,BTC / USD,3.2437
473,2011-11-01,BTC / USD,3.1638
474,2011-11-02,BTC / USD,3.2537
475,2011-11-03,BTC / USD,3.1555
476,2011-11-04,BTC / USD,3.0554
477,2011-11-05,BTC / USD,2.9725
478,2011-11-06,BTC / USD,2.9598
479,2011-11-07,BTC / USD,3.0061
480,2011-11-08,BTC / USD,3.0457
481,2011-11-09,BTC / USD,2.9482
482,2011-11-10,BTC / USD,2.8477
483,2011-11-11,BTC / USD,3.0735
484,2011-11-12,BTC / USD,3.0310
485,2011-11-13,BTC / USD,2.9960
486,2011-11-14,BTC / USD,2.1422
487,2011-11-15,BTC / USD,2.3245
488,2011-11-16,BTC / USD,2.5679
489,2011-11-17,BTC / USD,2.2500
490,2011-11-18,BTC / USD,2.0510
491,2011-11-19,BTC / USD,2.1994
492,2011-11-20,BTC / USD,2.1999
493,2011-11-21,BTC / USD,2.2894
494,2011-11-22,BTC / USD,2.3270
495,2011-11-23,BTC / USD,2.3321
496,2011-11-24,BTC / USD,2.4276
497,2011-11-25,BTC / USD,2.4933
498,2011-11-26,BTC / USD,2.4700
499,2011-11-27,BTC / USD,2.4770
500,2011-11-28,BTC / USD,2.5473
501,2011-11-29,BTC / USD,2.7502
502,2011-11-30,BTC / USD,2.9443
503,2011-12-01,BTC / USD,3.0684
504,2011-12-02,BTC / USD,3.1109
505,2011-12-03,BTC / USD,2.7837
506,2011-12-04,BTC / USD,2.8281
507,2011-12-05,BTC / USD,2.8511
508,2011-12-06,BTC / USD,3.0335
509,2011-12-07,BTC / USD,2.9737
510,2011-12-08,BTC / USD,2.9887
511,2011-12-09,BTC / USD,2.9623
512,2011-12-10,BTC / USD,3.0544
513,2011-12-11,BTC / USD,3.2509
514,2011-12-12,BTC / USD,3.1459
515,2011-12-13,BTC / USD,3.2499
516,2011-12-14,BTC / USD,3.1477
517,2011-12-15,BTC / USD,3.2020
518,2011-12-16,BTC / USD,3.2066
519,2011-12-17,BTC / USD,3.2000
520,2011-12-18,BTC / USD,3.1925
521,2011-12-19,BTC / USD,3.5239
522,2011-12-20,BTC / USD,3.9811
523,2011-12-21,BTC / USD,3.8821
524,2011-12-22,BTC / USD,3.9082
525,2011-12-23,BTC / USD,3.9468
526,2011-12-24,BTC / USD,3.9400
527,2011-12-25,BTC / USD,4.2250
528,2011-12-26,BTC / USD,4.0116
529,2011-12-27,BTC / USD,4.1077
530,2011-12-28,BTC / USD,4.1839
531,2011-12-29,BTC / USD,4.1666
532,2011-12-30,BTC / USD,4.2478
533,2011-12-31,BTC / USD,4.7216
534,2012-01-01,BTC / USD,5.2784
535,2012-01-02,BTC / USD,5.2168
536,2012-01-03,BTC / USD,4.8834
537,2012-01-04,BTC / USD,5.5875
538,2012-01-05,BTC / USD,6.9829
539,2012-01-06,BTC / USD,6.6969
540,2012-01-07,BTC / USD,6.8117
541,2012-01-08,BTC / USD,7.1301
542,2012-01-09,BTC / USD,6.3163
543,2012-01-10,BTC / USD,6.4497
544,2012-01-11,BTC / USD,6.9000
545,2012-01-12,BTC / USD,6.7978
546,2012-01-13,BTC / USD,6.4135
547,2012-01-14,BTC / USD,6.7500
548,2012-01-15,BTC / USD,7.0276
549,2012-01-16,BTC / USD,6.6485
550,2012-01-17,BTC / USD,5.5673
551,2012-01-18,BTC / USD,5.9171
552,2012-01-19,BTC / USD,6.3543
553,2012-01-20,BTC / USD,6.3729
554,2012-01-21,BTC / USD,6.1659
555,2012-01-22,BTC / USD,6.3066
556,2012-01-23,BTC / USD,6.3431
557,2012-01-24,BTC / USD,6.2676
558,2012-01-25,BTC / USD,5.7952
559,2012-01-26,BTC / USD,5.3350
560,2012-01-27,BTC / USD,5.2883
561,2012-01-28,BTC / USD,5.6305
562,2012-01-29,BTC / USD,5.3878
563,2012-01-30,BTC / USD,5.4905
564,2012-01-31,BTC / USD,5.4956
565,2012-02-01,BTC / USD,6.0744
566,2012-02-02,BTC / USD,6.1001
567,2012-02-03,BTC / USD,5.9546
568,2012-02-04,BTC / USD,5.8728
569,2012-02-05,BTC / USD,5.6844
570,2012-02-06,BTC / USD,5.4898
571,2012-02-07,BTC / USD,5.6330
572,2012-02-08,BTC / USD,5.6000
573,2012-02-09,BTC / USD,5.8396
574,2012-02-10,BTC / USD,5.9169
575,2012-02-11,BTC / USD,5.6005
576,2012-02-12,BTC / USD,5.5147
577,2012-02-13,BTC / USD,5.2852
578,2012-02-14,BTC / USD,4.4334
579,2012-02-15,BTC / USD,4.2717
580,2012-02-16,BTC / USD,4.2694
581,2012-02-17,BTC / USD,4.3962
582,2012-02-18,BTC / USD,4.2373
583,2012-02-19,BTC / USD,4.3784
584,2012-02-20,BTC / USD,4.3730
585,2012-02-21,BTC / USD,4.3025
586,2012-02-22,BTC / USD,4.4466
587,2012-02-23,BTC / USD,5.0195
588,2012-02-24,BTC / USD,5.0292
589,2012-02-25,BTC / USD,4.7802
590,2012-02-26,BTC / USD,4.9260
591,2012-02-27,BTC / USD,4.9600
592,2012-02-28,BTC / USD,4.8628
593,2012-02-29,BTC / USD,4.8600
594,2012-03-01,BTC / USD,4.9213
595,2012-03-02,BTC / USD,4.7167
596,2012-03-03,BTC / USD,4.6180
597,2012-03-04,BTC / USD,4.8256
598,2012-03-05,BTC / USD,4.9781
599,2012-03-06,BTC / USD,4.9942
600,2012-03-07,BTC / USD,4.9224
601,2012-03-08,BTC / USD,4.9302
602,2012-03-09,BTC / USD,4.8621
603,2012-03-10,BTC / USD,4.4600
604,2012-03-11,BTC / USD,4.8823
605,2012-03-12,BTC / USD,4.9034
606,2012-03-13,BTC / USD,5.2750
607,2012-03-14,BTC / USD,5.3867
608,2012-03-15,BTC / USD,5.1978
609,2012-03-16,BTC / USD,5.3437
610,2012-03-17,BTC / USD,5.1806
611,2012-03-18,BTC / USD,5.2797
612,2012-03-19,BTC / USD,4.6945
613,2012-03-20,BTC / USD,4.8375
614,2012-03-21,BTC / USD,4.8040
615,2012-03-22,BTC / USD,4.7301
616,2012-03-23,BTC / USD,4.6752
617,2012-03-24,BTC / USD,4.6670
618,2012-03-25,BTC / USD,4.5500
619,2012-03-26,BTC / USD,4.6213
620,2012-03-27,BTC / USD,4.8103
621,2012-03-28,BTC / USD,4.8102
622,2012-03-29,BTC / USD,4.7565
623,2012-03-30,BTC / USD,4.8591
624,2012-03-31,BTC / USD,4.8944
625,2012-04-01,BTC / USD,4.8207
626,2012-04-02,BTC / USD,4.9808
627,2012-04-03,BTC / USD,4.9520
628,2012-04-04,BTC / USD,4.9201
629,2012-04-05,BTC / USD,4.9190
630,2012-04-06,BTC / USD,4.9334
631,2012-04-07,BTC / USD,4.6817
632,2012-04-08,BTC / USD,4.7945
633,2012-04-09,BTC / USD,4.8507
634,2012-04-10,BTC / USD,4.8336
635,2012-04-11,BTC / USD,4.9281
636,2012-04-12,BTC / USD,4.9006
637,2012-04-13,BTC / USD,4.9365
638,2012-04-14,BTC / USD,4.9638
639,2012-04-15,BTC / USD,4.9689
640,2012-04-16,BTC / USD,4.9457
641,2012-04-17,BTC / USD,4.9740
642,2012-04-18,BTC / USD,5.1133
643,2012-04-19,BTC / USD,5.1060
644,2012-04-20,BTC / USD,5.3676
645,2012-04-21,BTC / USD,5.2348
646,2012-04-22,BTC / USD,5.2035
647,2012-04-23,BTC / USD,4.9993
648,2012-04-24,BTC / USD,5.0982
649,2012-04-25,BTC / USD,5.1318
650,2012-04-26,BTC / USD,5.0977
651,2012-04-27,BTC / USD,5.1045
652,2012-04-28,BTC / USD,4.9793
653,2012-04-29,BTC / USD,4.8874
654,2012-04-30,BTC / USD,4.9367
655,2012-05-01,BTC / USD,4.9975
656,2012-05-02,BTC / USD,5.0314
657,2012-05-03,BTC / USD,5.1008
658,2012-05-04,BTC / USD,5.0675
659,2012-05-05,BTC / USD,5.0766
660,2012-05-06,BTC / USD,5.0499
661,2012-05-07,BTC / USD,5.0738
662,2012-05-08,BTC / USD,5.0449
663,2012-05-09,BTC / USD,4.9818
664,2012-05-10,BTC / USD,4.8640
665,2012-05-11,BTC / USD,4.9538
